"","ID","Date","Map","Name team 1","Name team 2","Score 1st half team 1","Score 1st half team 2","Score 2nd half team 1","Score 2nd half team 2","Winner","Score 1st team","Score 2nd team"
"1","de_nuke_6156803976143969921652992887300824718","2022-05-19 20:41:27","de_nuke","Ninjas In Pyjamas","FaZe Clan",9,6,1,10,"FaZe Clan",10,16
"2","de_overpass_6246294808284798401652992894371821767","2022-05-19 20:41:34","de_overpass","FaZe Clan","Ninjas In Pyjamas",8,7,5,9,"Ninjas In Pyjamas",13,16
"3","de_inferno_6129343516433510251652992896293226512","2022-05-19 20:41:36","de_inferno","Ninjas In Pyjamas","FaZe Clan",8,7,0,9,"FaZe Clan",8,16
"4","de_vertigo_6169713723863713901653001495292796899","2022-05-19 23:04:55","de_vertigo","FURIA","Team Spirit",8,7,4,9,"Team Spirit",12,16
"5","de_ancient_6189363384583379821653001499268779520","2022-05-19 23:04:59","de_ancient","FURIA","Team Spirit",7,8,1,8,"Team Spirit",8,16
"6","de_vertigo_6227803555223546171653072046257518894","2022-05-20 18:40:46","de_vertigo","ENCE","Copenhagen Flames",12,3,4,7,"ENCE",16,10
"7","de_nuke_6144653951013944391653072050285187203","2022-05-20 18:40:50","de_nuke","Copenhagen Flames","ENCE",9,6,3,10,"ENCE",12,16
"8","de_inferno_6134814769764762671653079632385597301","2022-05-20 20:47:12","de_inferno","Heroic","Natus Vincere",9,6,7,4,"Heroic",16,10
"9","de_ancient_6132695164325158151653088410392388334","2022-05-20 23:13:30","de_ancient","Heroic","Natus Vincere",6,9,8,7,"Natus Vincere",14,16
"10","de_nuke_6158233889413883561653088414297335272","2022-05-20 23:13:34","de_nuke","Natus Vincere","Heroic",12,3,4,5,"Natus Vincere",16,8
"11","de_mirage_6149234265054256971653161108318016110","2022-05-21 19:25:08","de_mirage","Team Spirit","FaZe Clan",5,10,8,6,"FaZe Clan",13,16
"12","de_dust2_6164417349477338771653161146556651229","2022-05-21 19:25:46","de_dust2","FaZe Clan","Team Spirit",9,6,6,9,"FaZe Clan",15,15
"13","de_nuke_6120393644743638661653172461261545720","2022-05-21 22:34:21","de_nuke","Natus Vincere","ENCE",11,4,5,3,"Natus Vincere",16,7
"14","de_dust2_6168184025594020881653172467308458688","2022-05-21 22:34:27","de_dust2","ENCE","Natus Vincere",6,9,6,7,"Natus Vincere",12,16
"15","de_inferno_6167926485136471891653258966546676159","2022-05-22 22:36:06","de_inferno","Natus Vincere","FaZe Clan",5,10,10,5,"FaZe Clan",15,15
"16","de_nuke_6121563804743798651653259127279941755","2022-05-22 22:38:47","de_nuke","FaZe Clan","Natus Vincere",10,5,6,5,"FaZe Clan",16,10
